Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HPTS_avg_5,APTS_avg_5,H_gd_5,A_gd_5,H_eff_5,A_eff_5,HST_avg_5,AST_avg_5,target,H_status,A_status,H_H2H,A_H2H
I1,29/10/05,Sampdoria,Inter,2,2,D,2,2,D,11,12,8,7,13,20,4,8,1,2,0,0,1.75,1.5,1.0,-1.0,0.38,0.12,6.0,8.0,1,,,,
I1,30/10/05,Chievo,Empoli,2,2,D,1,1,D,14,7,6,4,13,21,6,2,2,1,0,0,1.75,1.0,1.0,-1.0,0.2,0.27,3.75,3.75,1,,,,
I1,30/10/05,Fiorentina,Cagliari,2,1,H,0,1,A,7,11,4,6,22,14,4,5,3,3,0,2,3.0,0.0,7.0,-7.0,0.5,0.15,6.5,5.0,0,,,,
I1,30/10/05,Lecce,Messina,0,2,A,0,0,D,14,10,6,5,22,25,5,3,2,4,0,0,1.0,0.4,-2.0,-4.0,0.2,0.15,5.0,5.4,2,,,,
I1,30/10/05,Livorno,Parma,2,0,H,2,0,H,7,8,3,5,15,13,3,5,1,1,0,0,2.5,0.0,4.0,-9.0,0.26,0.25,4.75,3.0,0,,,,
I1,30/10/05,Reggina,Lazio,1,0,H,0,0,D,12,5,5,2,23,20,3,4,2,4,0,0,1.2,0.5,-2.0,-5.0,0.21,0.22,5.6,2.25,0,,,,
I1,30/10/05,Roma,Ascoli,2,1,H,1,0,H,13,9,8,5,19,15,9,2,1,3,1,0,1.0,0.5,1.0,-3.0,0.24,0.15,7.25,3.25,0,,,,
I1,30/10/05,Treviso,Siena,0,1,A,0,1,A,7,10,3,4,23,18,3,7,2,1,0,0,0.0,1.25,-6.0,-1.0,0.07,0.42,3.5,4.75,2,,,,
I1,30/10/05,Udinese,Palermo,0,0,D,0,0,D,10,9,2,3,31,28,6,6,2,2,0,0,1.5,1.0,2.0,-2.0,0.16,0.22,6.25,6.75,1,,,,
I1,05/11/05,Empoli,Reggina,3,0,H,1,0,H,12,11,8,4,23,17,3,7,1,1,0,0,1.8,0.0,-2.0,-4.0,0.4,0.25,3.0,3.0,0,,,,
I1,05/11/05,Lazio,Inter,0,0,D,0,0,D,7,9,3,3,16,18,3,8,2,3,0,0,2.6,1.4,6.0,-1.0,0.46,0.15,4.8,7.8,1,,,,
I1,06/11/05,Ascoli,Fiorentina,0,2,A,0,1,A,5,11,3,5,17,13,6,3,2,1,0,0,1.8,1.4,3.0,2.0,0.33,0.27,4.8,5.2,2,,,,
I1,06/11/05,Cagliari,Treviso,0,0,D,0,0,D,14,7,7,2,19,23,6,1,2,4,0,0,0.8,1.0,-2.0,-4.0,0.12,0.29,4.8,2.8,1,,,,
I1,06/11/05,Juventus,Livorno,3,0,H,0,0,D,18,7,7,3,21,19,8,5,3,2,0,1,3.0,1.0,7.0,-5.0,0.21,0.25,7.6,3.2,0,,,,
I1,06/11/05,Messina,Roma,0,2,A,0,1,A,11,9,7,5,24,11,7,3,4,2,0,0,0.75,1.6,-3.0,3.0,0.17,0.21,6.0,5.6,2,,,,
I1,06/11/05,Milan,Udinese,5,1,H,3,0,H,7,4,4,3,26,26,6,2,2,3,0,0,3.0,1.4,8.0,-2.0,0.3,0.24,8.0,5.8,0,,,,
I1,06/11/05,Palermo,Sampdoria,0,2,A,0,1,A,15,8,7,3,18,19,6,4,2,4,0,0,2.2,1.2,5.0,1.0,0.26,0.29,8.6,5.6,2,,,,
I1,06/11/05,Parma,Lecce,2,0,H,1,0,H,5,10,3,4,20,20,6,3,1,3,0,0,1.2,0.0,0.0,-10.0,0.2,0.05,5.0,4.2,0,,,,
I1,06/11/05,Siena,Chievo,0,1,A,0,1,A,13,8,5,5,28,18,10,1,3,3,0,1,1.2,1.6,-1.0,2.0,0.33,0.56,5.4,3.2,2,,,,
I1,19/11/05,Roma,Juventus,1,4,A,0,1,A,9,9,3,6,31,21,3,6,3,3,0,1,1.4,2.4,2.0,7.0,0.24,0.38,7.4,5.8,2,,,,
I1,19/11/05,Udinese,Messina,1,0,H,0,0,D,18,5,11,3,20,21,10,0,3,3,0,0,1.4,1.0,2.0,-1.0,0.15,0.24,5.4,5.0,0,,,,
I1,20/11/05,Chievo,Ascoli,1,1,D,1,1,D,11,10,6,4,18,21,10,6,0,3,0,0,1.6,0.4,1.0,-4.0,0.24,0.17,4.2,3.6,1,,,,
I1,20/11/05,Fiorentina,Milan,3,1,H,1,1,D,6,16,3,5,21,18,2,10,1,2,0,0,3.0,2.0,8.0,5.0,0.5,0.28,6.0,6.4,0,,,,
